step,accuracy,loss,mode
68,0.46875,,eval_post_drift
69,0.4609375,,eval_post_drift
70,0.4453125,,eval_post_drift
71,0.4921875,,eval_post_drift
72,0.5234375,,eval_post_drift
73,0.546875,,eval_post_drift
74,0.5,,eval_post_drift
75,0.53125,,eval_post_drift
76,0.4921875,,eval_post_drift
77,0.453125,,eval_post_drift
78,0.546875,,eval_post_drift
79,0.5078125,,eval_post_drift
80,0.4765625,,eval_post_drift
81,0.5546875,,eval_post_drift
82,0.515625,,eval_post_drift
83,0.4921875,,eval_post_drift
84,0.484375,,eval_post_drift
85,0.4609375,,eval_post_drift
86,0.546875,,eval_post_drift
87,0.5078125,,eval_post_drift
88,0.546875,,eval_post_drift
89,0.5390625,,eval_post_drift
90,0.5546875,,eval_post_drift
91,0.5625,,eval_post_drift
92,0.515625,,eval_post_drift
93,0.453125,,eval_post_drift
94,0.515625,,eval_post_drift
95,0.5078125,,eval_post_drift
96,0.4921875,,eval_post_drift
97,0.5234375,,eval_post_drift
98,0.453125,,eval_post_drift
99,0.4375,,eval_post_drift
100,0.4453125,,eval_post_drift
101,0.5234375,,eval_post_drift
102,0.578125,,eval_post_drift
103,0.5703125,,eval_post_drift
104,0.5234375,,eval_post_drift
105,0.4921875,,eval_post_drift
106,0.578125,,eval_post_drift
107,0.5390625,,eval_post_drift
108,0.578125,,eval_post_drift
109,0.5390625,,eval_post_drift
110,0.484375,,eval_post_drift
111,0.5078125,,eval_post_drift
112,0.5078125,,eval_post_drift
113,0.53125,,eval_post_drift
114,0.515625,,eval_post_drift
115,0.515625,,eval_post_drift
116,0.5078125,,eval_post_drift
117,0.5234375,,eval_post_drift
118,0.578125,,eval_post_drift
119,0.5546875,,eval_post_drift
120,0.53125,,eval_post_drift
121,0.484375,,eval_post_drift
122,0.53125,,eval_post_drift
123,0.4609375,,eval_post_drift
124,0.359375,,eval_post_drift
125,0.421875,,eval_post_drift
126,0.515625,,eval_post_drift
127,0.4921875,,eval_post_drift
128,0.5234375,,eval_post_drift
129,0.4921875,,eval_post_drift
130,0.4921875,,eval_post_drift
131,0.4296875,,eval_post_drift
132,0.515625,,eval_post_drift
133,0.5078125,,eval_post_drift
134,0.484375,,eval_post_drift
135,0.53125,,eval_post_drift
136,0.4296875,,eval_post_drift
137,0.484375,,eval_post_drift
138,0.46875,,eval_post_drift
139,0.4453125,,eval_post_drift
140,0.484375,,eval_post_drift
141,0.5078125,,eval_post_drift
142,0.4375,,eval_post_drift
143,0.5,,eval_post_drift
144,0.4921875,,eval_post_drift
145,0.515625,,eval_post_drift
