step,loss,accuracy,drift
195,0.3054649531841278,0.8671875,False
196,0.2766174077987671,0.8828125,False
197,0.2809388041496277,0.8984375,False
198,0.283447802066803,0.8828125,False
199,0.30085399746894836,0.8828125,False
200,0.32816699147224426,0.8828125,False
201,0.27541202306747437,0.8828125,False
202,0.31812313199043274,0.875,False
203,0.3452725410461426,0.875,False
204,0.342384397983551,0.875,False
205,0.3676213324069977,0.796875,False
206,0.28691017627716064,0.8984375,False
207,0.32655906677246094,0.890625,False
208,0.2971959710121155,0.875,False
209,0.2787523865699768,0.8984375,False
210,0.26239916682243347,0.90625,False
211,0.2884150743484497,0.8828125,False
212,0.30615752935409546,0.875,False
213,0.2815304696559906,0.8828125,False
214,0.26088953018188477,0.9140625,False
215,0.2691132128238678,0.875,False
216,0.3141193091869354,0.84375,False
217,0.34060975909233093,0.8359375,False
218,0.303317129611969,0.8984375,False
219,0.24572446942329407,0.921875,False
