run,overall_accuracy,max_accuracy,final_accuracy,forgetting_score,avg_adaptation_latency,drift_steps
baseline,0.7636345541401274,0.9453125,0.9375,0.0003906250000000888,,[]
ssl,0.7559713375796179,1.0,0.7734375,0.236328125,,[]
transformer,0.9441182324840764,1.0,0.9765625,0.028515625000000044,,[]
meta_init,0.8041898885350318,0.9609375,0.953125,0.0003906249999999778,,[]
ewc,0.7714968152866242,0.96875,0.953125,0.00390625,,[]
seai,0.7714968152866242,0.96875,0.953125,0.00390625,,[]
